SET IDENTITY_INSERT [dbo].[Article] ON
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (1, N'Laptop Dell Inspiron', CAST(799.9900 AS SmallMoney), 40, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (98, N'Focal Listen Wireless', CAST(299.9900 AS SmallMoney), 30, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (99, N'JBL Live 650BTNC', CAST(199.9900 AS SmallMoney), 50, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (100, N'Smartwatch Garmin Venu', CAST(349.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (101, N'Bluetooth Lautsprecher Bose SoundLink', CAST(129.9900 AS SmallMoney), 80, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (102, N'Elektrischer Wasserkocher Philips', CAST(49.9900 AS SmallMoney), 0, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (103, N'Gaming Stuhl Secretlab Omega', CAST(399.9900 AS SmallMoney), 25, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (104, N'Kaffeemaschine DeLonghi Magnifica', CAST(599.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (105, N'4K Monitor LG UltraFine', CAST(699.9900 AS SmallMoney), 15, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (106, N'Externe Festplatte WD My Passport', CAST(89.9900 AS SmallMoney), 0, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (107, N'Smartphone Hülle Spigen', CAST(19.9900 AS SmallMoney), 200, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (108, N'Kabellose Maus Logitech MX Anywhere 3', CAST(79.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (109, N'Mechanische Tastatur Razer BlackWidow', CAST(139.9900 AS SmallMoney), 50, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (110, N'Fitness Tracker Xiaomi Mi Band 6', CAST(49.9900 AS SmallMoney), 0, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (111, N'Tablet Samsung Galaxy Tab S7', CAST(649.9900 AS SmallMoney), 20, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (112, N'Drohne DJI Mavic Air 2', CAST(799.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (113, N'Smart Home Hub Amazon Echo', CAST(99.9900 AS SmallMoney), 70, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (114, N'Luftreiniger Dyson Pure Cool', CAST(499.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (115, N'Elektrischer Rasierer Braun Series 9', CAST(299.9900 AS SmallMoney), 40, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (116, N'Digitalkamera Nikon Z50', CAST(999.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (117, N'E-Book Reader Kobo Libra H2O', CAST(179.9900 AS SmallMoney), 50, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (118, N'Smart Thermostat Tado', CAST(199.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (119, N'Kabellose Kopfhörer Sony WF-1000XM3', CAST(229.9900 AS SmallMoney), 60, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (120, N'USB-C Hub Anker', CAST(39.9900 AS SmallMoney), 0, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (121, N'Gaming Headset SteelSeries Arctis 7', CAST(149.9900 AS SmallMoney), 50, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (122, N'Smartphone OnePlus Nord', CAST(399.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (123, N'Laptop Rucksack Thule', CAST(89.9900 AS SmallMoney), 70, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (124, N'Elektrische Zahnbürste Oral-B Genius', CAST(129.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (125, N'Smartwatch Apple Watch SE', CAST(279.9900 AS SmallMoney), 30, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (126, N'Bluetooth Kopfhörer JBL Tune 500BT', CAST(49.9900 AS SmallMoney), 0, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (127, N'Smartphone Samsung Galaxy A52', CAST(349.9900 AS SmallMoney), 50, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (128, N'Laptop Lenovo IdeaPad 3', CAST(499.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (129, N'Tablet Hülle MoKo', CAST(19.9900 AS SmallMoney), 150, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (130, N'Gaming Mauspad Corsair MM300', CAST(29.9900 AS SmallMoney), 0, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (131, N'Smartphone Huawei P30 Lite', CAST(299.9900 AS SmallMoney), 40, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (132, N'Bluetooth Lautsprecher Anker Soundcore', CAST(39.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (133, N'Elektrischer Grill Weber Q1400', CAST(299.9900 AS SmallMoney), 25, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (134, N'Smartphone Google Pixel 4a', CAST(349.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (135, N'Kabellose Tastatur Logitech K380', CAST(39.9900 AS SmallMoney), 80, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (136, N'Gaming Monitor Asus TUF', CAST(399.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (137, N'Smartwatch Fitbit Versa 3', CAST(229.9900 AS SmallMoney), 40, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (138, N'Bluetooth Lautsprecher Ultimate Ears Boom 3', CAST(149.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (139, N'Elektrischer Rasierer Philips OneBlade', CAST(49.9900 AS SmallMoney), 100, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (140, N'Smartphone Xiaomi Redmi Note 10', CAST(199.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (141, N'Laptop HP Pavilion 15', CAST(699.9900 AS SmallMoney), 15, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (142, N'Tablet Samsung Galaxy Tab A7', CAST(229.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (143, N'Smart Home Kamera Arlo Pro 3', CAST(499.9900 AS SmallMoney), 20, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (144, N'Kabellose Maus Microsoft Surface', CAST(49.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (145, N'Gaming Tastatur SteelSeries Apex 5', CAST(129.9900 AS SmallMoney), 50, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (146, N'Smartphone Oppo Reno 4', CAST(399.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (147, N'Laptop Asus ZenBook 14', CAST(899.9900 AS SmallMoney), 10, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (148, N'Bluetooth Kopfhörer Sennheiser HD 350BT', CAST(99.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (149, N'Smartwatch Garmin Forerunner 245', CAST(299.9900 AS SmallMoney), 30, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (150, N'Elektrischer Wasserkocher Bosch', CAST(39.9900 AS SmallMoney), 0, 0)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (151, N'Gaming Stuhl Noblechairs Hero', CAST(449.9900 AS SmallMoney), 20, 1)
